tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,pitch,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,10,121,0,,,
0,control_change,0,0,6,,,,,,,,,10,10,12,,,
0,control_change,0,0,6,,,,,,,,,10,7,127,,,
0,program_change,0,0,6,,,,,,,,48,10,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,,
0,control_change,0,0,5,,,,,,,,,5,10,28,,,
0,control_change,0,0,5,,,,,,,,,5,7,127,,,
0,program_change,0,0,5,,,,,,,,60,5,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,,
0,control_change,0,0,4,,,,,,,,,4,10,24,,,
0,control_change,0,0,4,,,,,,,,,4,7,127,,,
0,program_change,0,0,4,,,,,,,,60,4,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,,
0,control_change,0,0,3,,,,,,,,,3,10,80,,,
0,control_change,0,0,3,,,,,,,,,3,7,127,,,
0,program_change,0,0,3,,,,,,,,70,3,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,,
0,control_change,0,0,2,,,,,,,,,1,10,72,,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,,
0,program_change,0,0,2,,,,,,,,68,1,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,10,52,,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,,
0,program_change,0,0,1,,,,,,,,73,0,,,,,
0,track_name,0,1,15,,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,,
0,program_change,0,0,7,,,,,,,,48,11,,,,,
0,midi_port,0,1,15,,,,,,,0,,,,,,,
0,end_of_track,0,1,14,,,,,,,,,,,,,,
0,track_name,0,1,14,,,,,,,,,,,,,,
0,midi_port,0,1,14,,,,,,,0,,,,,,,
0,end_of_track,0,1,13,,,,,,,,,,,,,,
0,track_name,0,1,13,,,,,,,,,,,,,,
0,midi_port,0,1,13,,,,,,,0,,,,,,,
0,end_of_track,0,1,12,,,,,,,,,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,,,
0,midi_port,0,1,12,,,,,,,0,,,,,,,
0,end_of_track,0,1,11,,,,,,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,,
0,midi_port,0,1,11,,,,,,,0,,,,,,,
0,control_change,0,0,10,,,,,,,,,14,10,127,,,
0,track_name,0,1,1,,,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,,,14,7,127,,,
0,track_name,0,1,10,,,,,,,,,,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,,
0,control_change,0,0,9,,,,,,,,,13,10,100,,,
0,control_change,0,0,9,,,,,,,,,13,7,127,,,
0,program_change,0,0,9,,,,,,,,48,13,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,,
0,control_change,0,0,8,,,,,,,,,12,10,40,,,
0,control_change,0,0,8,,,,,,,,,12,7,127,,,
0,program_change,0,0,8,,,,,,,,48,12,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,,
0,control_change,0,0,7,,,,,,,,,11,10,90,,,
0,control_change,0,0,7,,,,,,,,,11,7,127,,,
0,program_change,0,0,10,,,,,,,,48,14,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,,
0,end_of_track,0,1,15,,,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,400000,,,,,,,,
0,key_signature,0,1,0,,,,,Eb,,,,,,,,,
0,time_signature,0,1,0,6,8,12,8,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,
