tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,,,,,,,0,,,,,,
0,note_on,0,0,2,,,,,,,,,,,,,,,0,,,37,31
0,control_change,0,0,2,,,,,,,,,,,,,,,0,7,100,,
0,program_change,0,0,2,,,,,,,,,,,,,,1,0,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,10,,,,,,,,,,,,,0,,,,,,
0,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,47
0,note_on,0,0,1,,,,,,,,,,,,,,,0,,,64,39
0,control_change,0,0,1,,,,,,,,,,,,,,,0,91,127,,
0,control_change,0,0,1,,,,,,,,,,,,,,,0,91,127,,
0,control_change,0,0,1,,,,,,,,,,,,,,,0,7,100,,
0,program_change,0,0,1,,,,,,,,,,,,,,1,0,,,,
0,text,0,1,1,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,9,,,,,,,,,,,,,0,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,,,,,,,0,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,,,,,,,0,,,,,,
0,midi_port,0,1,7,,,,,,,,,,,,,0,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,,,,,,,0,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,,,,,,,0,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,,,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,,,,,,,0,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,
0,smpte_offset,0,1,0,25,32,0,3,0,0,,,,,,,,,,,,,
0,time_signature,0,1,0,,,,,,,3,4,24,8,,,,,,,,,
0,key_signature,0,1,0,,,,,,,,,,,E,,,,,,,,
0,set_tempo,0,1,0,,,,,,,,,,,,1232792,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,,,,,,,
14,control_change,14,0,2,,,,,,,,,,,,,,,0,64,127,,
240,note_on,226,0,2,,,,,,,,,,,,,,,0,,,37,0
420,note_on,180,0,2,,,,,,,,,,,,,,,0,,,49,27
480,note_on,0,0,2,,,,,,,,,,,,,,,0,,,61,32
480,note_on,60,0,2,,,,,,,,,,,,,,,0,,,49,0
720,note_on,240,0,2,,,,,,,,,,,,,,,0,,,61,0
720,set_tempo,720,1,0,,,,,,,,,,,,1290045,,,,,,,
720,note_on,720,0,1,,,,,,,,,,,,,,,0,,,73,31
960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,64,35
960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,41
960,note_on,240,0,1,,,,,,,,,,,,,,,0,,,73,0
960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,0
960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,64,0
988,control_change,268,0,2,,,,,,,,,,,,,,,0,64,0,,
1016,control_change,28,0,2,,,,,,,,,,,,,,,0,64,127,,
1320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,64,0
1320,note_on,360,0,1,,,,,,,,,,,,,,,0,,,68,0
1320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,66,40
1320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,63,34
1440,note_on,0,0,1,,,,,,,,,,,,,,,0,,,66,0
1440,note_on,0,0,1,,,,,,,,,,,,,,,0,,,63,41
1440,note_on,0,0,1,,,,,,,,,,,,,,,0,,,66,49
1440,note_on,120,0,1,,,,,,,,,,,,,,,0,,,63,0
1440,set_tempo,720,1,0,,,,,,,,,,,,1232792,,,,,,,
1440,note_on,424,0,2,,,,,,,,,,,,,,,0,,,37,31
1468,control_change,28,0,2,,,,,,,,,,,,,,,0,64,0,,
1514,control_change,46,0,2,,,,,,,,,,,,,,,0,64,127,,
1680,note_on,166,0,2,,,,,,,,,,,,,,,0,,,37,0
1860,note_on,180,0,2,,,,,,,,,,,,,,,0,,,49,27
1920,note_on,0,0,2,,,,,,,,,,,,,,,0,,,61,32
1920,note_on,60,0,2,,,,,,,,,,,,,,,0,,,49,0
2160,note_on,240,0,2,,,,,,,,,,,,,,,0,,,61,0
2160,note_on,720,0,1,,,,,,,,,,,,,,,0,,,73,31
2160,set_tempo,720,1,0,,,,,,,,,,,,1278500,,,,,,,
2400,note_on,0,0,1,,,,,,,,,,,,,,,0,,,63,37
2400,note_on,0,0,1,,,,,,,,,,,,,,,0,,,66,44
2400,note_on,0,0,1,,,,,,,,,,,,,,,0,,,63,0
2400,note_on,0,0,1,,,,,,,,,,,,,,,0,,,66,0
2400,note_on,240,0,1,,,,,,,,,,,,,,,0,,,73,0
2414,control_change,254,0,2,,,,,,,,,,,,,,,0,64,0,,
2471,control_change,57,0,2,,,,,,,,,,,,,,,0,64,127,,
2880,set_tempo,720,1,0,,,,,,,,,,,,1232792,,,,,,,
2880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,66,41
2880,note_on,480,0,1,,,,,,,,,,,,,,,0,,,63,0
2880,note_on,409,0,2,,,,,,,,,,,,,,,0,,,37,31
2880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,49
2880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,66,0
2908,control_change,28,0,2,,,,,,,,,,,,,,,0,64,0,,
2954,control_change,46,0,2,,,,,,,,,,,,,,,0,64,127,,
3120,note_on,166,0,2,,,,,,,,,,,,,,,0,,,37,0
3300,note_on,180,0,2,,,,,,,,,,,,,,,0,,,49,27
3360,note_on,0,0,2,,,,,,,,,,,,,,,0,,,61,32
3360,note_on,60,0,2,,,,,,,,,,,,,,,0,,,49,0
3600,note_on,720,0,1,,,,,,,,,,,,,,,0,,,73,33
3600,set_tempo,720,1,0,,,,,,,,,,,,1278500,,,,,,,
3600,note_on,240,0,2,,,,,,,,,,,,,,,0,,,61,0
3840,note_on,240,0,1,,,,,,,,,,,,,,,0,,,73,0
3840,note_on,0,0,1,,,,,,,,,,,,,,,0,,,66,0
3840,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,0
3840,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,39
3840,note_on,0,0,1,,,,,,,,,,,,,,,0,,,66,33
3854,control_change,254,0,2,,,,,,,,,,,,,,,0,64,0,,
3896,control_change,42,0,2,,,,,,,,,,,,,,,0,64,127,,
4080,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,36
4080,note_on,0,0,1,,,,,,,,,,,,,,,0,,,66,0
4080,note_on,0,0,1,,,,,,,,,,,,,,,0,,,64,30
4080,note_on,240,0,1,,,,,,,,,,,,,,,0,,,69,0
4200,note_on,120,0,1,,,,,,,,,,,,,,,0,,,64,0
4200,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,0
4200,note_on,0,0,1,,,,,,,,,,,,,,,0,,,63,28
4200,note_on,0,0,1,,,,,,,,,,,,,,,0,,,66,34
4320,set_tempo,720,1,0,,,,,,,,,,,,1232792,,,,,,,
4320,note_on,0,0,2,,,,,,,,,,,,,,,0,,,37,31
4320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,64,39
4320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,47
4320,control_change,424,0,2,,,,,,,,,,,,,,,0,64,0,,
4320,note_on,120,0,1,,,,,,,,,,,,,,,0,,,66,0
4320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,63,0
4373,control_change,53,0,2,,,,,,,,,,,,,,,0,64,127,,
4560,note_on,187,0,2,,,,,,,,,,,,,,,0,,,37,0
4740,note_on,180,0,2,,,,,,,,,,,,,,,0,,,49,27
4800,note_on,0,0,2,,,,,,,,,,,,,,,0,,,61,32
4800,note_on,60,0,2,,,,,,,,,,,,,,,0,,,49,0
5040,note_on,240,0,2,,,,,,,,,,,,,,,0,,,61,0
5040,set_tempo,720,1,0,,,,,,,,,,,,1278500,,,,,,,
5040,note_on,720,0,1,,,,,,,,,,,,,,,0,,,73,33
5280,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,0
5280,note_on,240,0,1,,,,,,,,,,,,,,,0,,,73,0
5280,note_on,0,0,1,,,,,,,,,,,,,,,0,,,64,35
5280,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,41
5280,note_on,0,0,1,,,,,,,,,,,,,,,0,,,64,0
5308,control_change,268,0,2,,,,,,,,,,,,,,,0,64,0,,
5336,control_change,28,0,2,,,,,,,,,,,,,,,0,64,127,,
5760,note_on,0,0,1,,,,,,,,,,,,,,,0,,,71,49
5760,note_on,480,0,1,,,,,,,,,,,,,,,0,,,68,0
5760,note_on,0,0,1,,,,,,,,,,,,,,,0,,,65,41
5760,note_on,0,0,1,,,,,,,,,,,,,,,0,,,64,0
5760,set_tempo,720,1,0,,,,,,,,,,,,1232792,,,,,,,
5760,note_on,424,0,2,,,,,,,,,,,,,,,0,,,37,31
5788,control_change,28,0,2,,,,,,,,,,,,,,,0,64,0,,
5834,control_change,46,0,2,,,,,,,,,,,,,,,0,64,127,,
6000,note_on,166,0,2,,,,,,,,,,,,,,,0,,,37,0
6180,note_on,180,0,2,,,,,,,,,,,,,,,0,,,49,27
6240,note_on,0,0,2,,,,,,,,,,,,,,,0,,,61,32
6240,note_on,60,0,2,,,,,,,,,,,,,,,0,,,49,0
6480,set_tempo,720,1,0,,,,,,,,,,,,1278500,,,,,,,
6480,note_on,720,0,1,,,,,,,,,,,,,,,0,,,73,41
6480,note_on,240,0,2,,,,,,,,,,,,,,,0,,,61,0
6720,set_tempo,240,1,0,,,,,,,,,,,,1223990,,,,,,,
6720,note_on,240,0,1,,,,,,,,,,,,,,,0,,,73,0
6720,note_on,0,0,1,,,,,,,,,,,,,,,0,,,71,0
6720,note_on,0,0,1,,,,,,,,,,,,,,,0,,,65,0
6720,note_on,0,0,1,,,,,,,,,,,,,,,0,,,71,39
6720,note_on,0,0,1,,,,,,,,,,,,,,,0,,,65,33
6734,control_change,254,0,2,,,,,,,,,,,,,,,0,64,0,,
6776,control_change,42,0,2,,,,,,,,,,,,,,,0,64,127,,
6840,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,33
6840,note_on,120,0,1,,,,,,,,,,,,,,,0,,,65,0
6960,note_on,120,0,1,,,,,,,,,,,,,,,0,,,68,0
6960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,71,0
6960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,36
6960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,66,30
7080,note_on,120,0,1,,,,,,,,,,,,,,,0,,,66,0
7080,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,0
7080,set_tempo,360,1,0,,,,,,,,,,,,1313198,,,,,,,
7080,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,34
7080,note_on,0,0,1,,,,,,,,,,,,,,,0,,,65,28
7200,note_on,424,0,2,,,,,,,,,,,,,,,0,,,37,31
7200,set_tempo,120,1,0,,,,,,,,,,,,1232792,,,,,,,
7200,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,49
7200,note_on,0,0,1,,,,,,,,,,,,,,,0,,,66,41
7200,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,0
7200,note_on,120,0,1,,,,,,,,,,,,,,,0,,,65,0
7228,control_change,28,0,2,,,,,,,,,,,,,,,0,64,0,,
7274,control_change,46,0,2,,,,,,,,,,,,,,,0,64,127,,
7440,note_on,166,0,2,,,,,,,,,,,,,,,0,,,37,0
7620,note_on,180,0,2,,,,,,,,,,,,,,,0,,,49,27
7680,note_on,0,0,2,,,,,,,,,,,,,,,0,,,61,32
7680,note_on,60,0,2,,,,,,,,,,,,,,,0,,,49,0
7920,note_on,0,0,1,,,,,,,,,,,,,,,0,,,66,0
7920,note_on,240,0,2,,,,,,,,,,,,,,,0,,,61,0
7920,note_on,0,0,1,,,,,,,,,,,,,,,0,,,73,41
7920,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,34
7920,set_tempo,720,1,0,,,,,,,,,,,,1278500,,,,,,,
7920,note_on,720,0,1,,,,,,,,,,,,,,,0,,,69,0
7920,note_on,0,0,1,,,,,,,,,,,,,,,0,,,66,28
8160,note_on,240,0,1,,,,,,,,,,,,,,,0,,,69,0
8160,note_on,0,0,1,,,,,,,,,,,,,,,0,,,66,0
8160,note_on,0,0,1,,,,,,,,,,,,,,,0,,,73,0
8160,note_on,0,0,1,,,,,,,,,,,,,,,0,,,66,40
8160,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,48
8174,control_change,254,0,2,,,,,,,,,,,,,,,0,64,0,,
8216,control_change,42,0,2,,,,,,,,,,,,,,,0,64,127,,
8400,note_on,0,0,1,,,,,,,,,,,,,,,0,,,66,40
8400,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,49
8400,note_on,0,0,1,,,,,,,,,,,,,,,0,,,66,0
8400,set_tempo,480,1,0,,,,,,,,,,,,1353485,,,,,,,
8400,note_on,240,0,1,,,,,,,,,,,,,,,0,,,69,0
8640,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,49
8640,note_on,0,0,1,,,,,,,,,,,,,,,0,,,73,58
8640,note_on,240,0,1,,,,,,,,,,,,,,,0,,,66,0
8640,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,0
8640,set_tempo,240,1,0,,,,,,,,,,,,1232792,,,,,,,
8640,note_on,424,0,2,,,,,,,,,,,,,,,0,,,37,37
8668,control_change,28,0,2,,,,,,,,,,,,,,,0,64,0,,
8714,control_change,46,0,2,,,,,,,,,,,,,,,0,64,127,,
8880,note_on,166,0,2,,,,,,,,,,,,,,,0,,,37,0
9060,note_on,180,0,2,,,,,,,,,,,,,,,0,,,49,30
9120,note_on,60,0,2,,,,,,,,,,,,,,,0,,,49,0
9120,note_on,0,0,2,,,,,,,,,,,,,,,0,,,61,36
9360,note_on,720,0,1,,,,,,,,,,,,,,,0,,,73,45
9360,note_on,240,0,2,,,,,,,,,,,,,,,0,,,61,0
9400,set_tempo,760,1,0,,,,,,,,,,,,1266892,,,,,,,
9600,note_on,0,0,1,,,,,,,,,,,,,,,0,,,73,47
9600,note_on,0,0,1,,,,,,,,,,,,,,,0,,,73,0
9600,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,39
9600,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,0
9600,note_on,240,0,1,,,,,,,,,,,,,,,0,,,73,0
9614,control_change,254,0,2,,,,,,,,,,,,,,,0,64,0,,
9656,control_change,42,0,2,,,,,,,,,,,,,,,0,64,127,,
9960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,66,28
9960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,34
9960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,0
9960,note_on,360,0,1,,,,,,,,,,,,,,,0,,,73,0
9960,set_tempo,560,1,0,,,,,,,,,,,,1394700,,,,,,,
10080,note_on,424,0,2,,,,,,,,,,,,,,,0,,,37,31
10080,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,44
10080,note_on,0,0,1,,,,,,,,,,,,,,,0,,,64,36
10080,note_on,120,0,1,,,,,,,,,,,,,,,0,,,66,0
10080,set_tempo,120,1,0,,,,,,,,,,,,1232792,,,,,,,
10080,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,0
10108,control_change,28,0,2,,,,,,,,,,,,,,,0,64,0,,
10154,control_change,46,0,2,,,,,,,,,,,,,,,0,64,127,,
10320,note_on,166,0,2,,,,,,,,,,,,,,,0,,,37,0
10500,note_on,180,0,2,,,,,,,,,,,,,,,0,,,49,27
10560,note_on,60,0,2,,,,,,,,,,,,,,,0,,,49,0
10560,note_on,0,0,2,,,,,,,,,,,,,,,0,,,61,32
10800,note_on,720,0,1,,,,,,,,,,,,,,,0,,,73,33
10800,note_on,240,0,2,,,,,,,,,,,,,,,0,,,61,0
10800,set_tempo,720,1,0,,,,,,,,,,,,1278500,,,,,,,
11040,note_on,240,0,1,,,,,,,,,,,,,,,0,,,73,0
11054,control_change,254,0,2,,,,,,,,,,,,,,,0,64,0,,
11096,control_change,42,0,2,,,,,,,,,,,,,,,0,64,127,,
11280,note_on,240,0,1,,,,,,,,,,,,,,,0,,,68,0
11280,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,49
11280,note_on,0,0,1,,,,,,,,,,,,,,,0,,,64,40
11280,note_on,0,0,1,,,,,,,,,,,,,,,0,,,64,0
11520,note_on,424,0,2,,,,,,,,,,,,,,,0,,,32,34
11520,note_on,0,0,1,,,,,,,,,,,,,,,0,,,73,59
11520,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,50
11520,note_on,0,0,1,,,,,,,,,,,,,,,0,,,64,50
11520,set_tempo,720,1,0,,,,,,,,,,,,1232792,,,,,,,
11520,note_on,0,0,1,,,,,,,,,,,,,,,0,,,64,0
11520,note_on,0,0,2,,,,,,,,,,,,,,,0,,,44,40
11520,note_on,240,0,1,,,,,,,,,,,,,,,0,,,68,0
11548,control_change,28,0,2,,,,,,,,,,,,,,,0,64,0,,
11594,control_change,46,0,2,,,,,,,,,,,,,,,0,64,127,,
11760,note_on,166,0,2,,,,,,,,,,,,,,,0,,,44,0
11760,note_on,0,0,2,,,,,,,,,,,,,,,0,,,32,0
11880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,44
11880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,63,44
11880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,52
11880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,0
11880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,64,0
11880,note_on,360,0,1,,,,,,,,,,,,,,,0,,,73,0
11940,note_on,180,0,2,,,,,,,,,,,,,,,0,,,44,42
12000,note_on,120,0,1,,,,,,,,,,,,,,,0,,,68,0
12000,note_on,0,0,1,,,,,,,,,,,,,,,0,,,63,0
12000,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,0
12000,note_on,0,0,1,,,,,,,,,,,,,,,0,,,63,49
12000,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,49
12000,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,58
12000,note_on,60,0,2,,,,,,,,,,,,,,,0,,,44,0
12000,note_on,0,0,2,,,,,,,,,,,,,,,0,,,56,48
12000,set_tempo,480,1,0,,,,,,,,,,,,1200720,,,,,,,
12240,note_on,240,0,1,,,,,,,,,,,,,,,0,,,80,50
12240,set_tempo,240,1,0,,,,,,,,,,,,1266892,,,,,,,
12240,note_on,240,0,2,,,,,,,,,,,,,,,0,,,56,0
12480,note_on,240,0,1,,,,,,,,,,,,,,,0,,,80,0
12494,control_change,254,0,2,,,,,,,,,,,,,,,0,64,0,,
12536,control_change,42,0,2,,,,,,,,,,,,,,,0,64,127,,
12720,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,51
12720,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,62
12720,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,0
12720,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,0
12720,note_on,240,0,1,,,,,,,,,,,,,,,0,,,63,0
12960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,73,57
12960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,67,57
12960,note_on,240,0,1,,,,,,,,,,,,,,,0,,,68,0
12960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,67
12960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,0
12960,set_tempo,720,1,0,,,,,,,,,,,,1232792,,,,,,,
12960,note_on,424,0,2,,,,,,,,,,,,,,,0,,,32,39
12960,note_on,0,0,2,,,,,,,,,,,,,,,0,,,44,46
12988,control_change,28,0,2,,,,,,,,,,,,,,,0,64,0,,
13034,control_change,46,0,2,,,,,,,,,,,,,,,0,64,127,,
13200,note_on,0,0,2,,,,,,,,,,,,,,,0,,,32,0
13200,note_on,166,0,2,,,,,,,,,,,,,,,0,,,44,0
13320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,50
13320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,50
13320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,67,0
13320,note_on,360,0,1,,,,,,,,,,,,,,,0,,,76,0
13320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,73,0
13320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,59
13380,note_on,180,0,2,,,,,,,,,,,,,,,0,,,44,48
13440,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,0
13440,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,66
13440,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,56
13440,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,0
13440,note_on,0,0,2,,,,,,,,,,,,,,,0,,,56,55
13440,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,56
13440,set_tempo,480,1,0,,,,,,,,,,,,1189296,,,,,,,
13440,note_on,60,0,2,,,,,,,,,,,,,,,0,,,44,0
13440,note_on,120,0,1,,,,,,,,,,,,,,,0,,,75,0
13680,note_on,240,0,1,,,,,,,,,,,,,,,0,,,80,58
13680,set_tempo,240,1,0,,,,,,,,,,,,1278500,,,,,,,
13680,note_on,240,0,2,,,,,,,,,,,,,,,0,,,56,0
13920,note_on,240,0,1,,,,,,,,,,,,,,,0,,,80,0
13934,control_change,254,0,2,,,,,,,,,,,,,,,0,64,0,,
13976,control_change,42,0,2,,,,,,,,,,,,,,,0,64,127,,
14160,set_tempo,480,1,0,,,,,,,,,,,,1314924,,,,,,,
14160,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,68
14160,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,56
14160,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,56
14160,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,0
14160,note_on,240,0,1,,,,,,,,,,,,,,,0,,,68,0
14160,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,0
14400,set_tempo,240,1,0,,,,,,,,,,,,1232792,,,,,,,
14400,note_on,0,0,2,,,,,,,,,,,,,,,0,,,32,42
14400,note_on,424,0,2,,,,,,,,,,,,,,,0,,,44,50
14400,note_on,240,0,1,,,,,,,,,,,,,,,0,,,75,0
14400,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,0
14400,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,0
14400,note_on,0,0,1,,,,,,,,,,,,,,,0,,,80,73
14400,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,62
14400,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,62
14428,control_change,28,0,2,,,,,,,,,,,,,,,0,64,0,,
14474,control_change,46,0,2,,,,,,,,,,,,,,,0,64,127,,
14640,note_on,0,0,2,,,,,,,,,,,,,,,0,,,44,0
14640,note_on,166,0,2,,,,,,,,,,,,,,,0,,,32,0
14760,note_on,360,0,1,,,,,,,,,,,,,,,0,,,76,0
14760,note_on,0,0,1,,,,,,,,,,,,,,,0,,,68,0
14760,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,55
14760,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,55
14760,note_on,0,0,1,,,,,,,,,,,,,,,0,,,80,0
14760,note_on,0,0,1,,,,,,,,,,,,,,,0,,,78,64
14820,note_on,180,0,2,,,,,,,,,,,,,,,0,,,44,52
14880,note_on,0,0,2,,,,,,,,,,,,,,,0,,,56,60
14880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,0
14880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,0
14880,note_on,60,0,2,,,,,,,,,,,,,,,0,,,44,0
14880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,78,72
14880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,61
14880,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,61
14880,note_on,120,0,1,,,,,,,,,,,,,,,0,,,78,0
15120,set_tempo,720,1,0,,,,,,,,,,,,1278500,,,,,,,
15120,note_on,240,0,2,,,,,,,,,,,,,,,0,,,56,0
15120,note_on,240,0,1,,,,,,,,,,,,,,,0,,,80,63
15360,note_on,240,0,1,,,,,,,,,,,,,,,0,,,80,0
15374,control_change,254,0,2,,,,,,,,,,,,,,,0,64,0,,
15416,control_change,42,0,2,,,,,,,,,,,,,,,0,64,127,,
15600,set_tempo,480,1,0,,,,,,,,,,,,1394700,,,,,,,
15600,note_on,240,0,1,,,,,,,,,,,,,,,0,,,78,0
15600,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,61
15600,note_on,0,0,1,,,,,,,,,,,,,,,0,,,78,74
15600,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,0
15600,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,0
15600,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,61
15840,set_tempo,240,1,0,,,,,,,,,,,,1232792,,,,,,,
15840,note_on,0,0,1,,,,,,,,,,,,,,,0,,,73,68
15840,note_on,0,0,2,,,,,,,,,,,,,,,0,,,32,46
15840,note_on,0,0,1,,,,,,,,,,,,,,,0,,,81,80
15840,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,68
15840,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,0
15840,note_on,0,0,1,,,,,,,,,,,,,,,0,,,78,0
15840,note_on,240,0,1,,,,,,,,,,,,,,,0,,,75,0
15840,note_on,424,0,2,,,,,,,,,,,,,,,0,,,44,55
15868,control_change,28,0,2,,,,,,,,,,,,,,,0,64,0,,
15914,control_change,46,0,2,,,,,,,,,,,,,,,0,64,127,,
16080,note_on,0,0,2,,,,,,,,,,,,,,,0,,,44,0
16080,note_on,166,0,2,,,,,,,,,,,,,,,0,,,32,0
16200,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,0
16200,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,60
16200,note_on,0,0,1,,,,,,,,,,,,,,,0,,,80,70
16200,note_on,0,0,1,,,,,,,,,,,,,,,0,,,73,0
16200,note_on,360,0,1,,,,,,,,,,,,,,,0,,,81,0
16200,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,60
16260,note_on,180,0,2,,,,,,,,,,,,,,,0,,,44,52
16320,note_on,0,0,2,,,,,,,,,,,,,,,0,,,56,60
16320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,80,0
16320,note_on,60,0,2,,,,,,,,,,,,,,,0,,,44,0
16320,note_on,0,0,1,,,,,,,,,,,,,,,0,,,75,67
